job_id,qpu,qubits,circuit_family,shots_requested,shots_per_circuit,circuits_per_job,shots_executed,timestamp,ibm_created_utc,execution_start_utc,execution_stop_utc,status,sabre_2q_gates,tket_2q_gates,prometheus_2q_gates,sabre_depth,tket_depth,prometheus_depth,ibm_verified,package_sha256,sabre_fidelity,tket_fidelity,prometheus_fidelity,prometheus_fidelity_vs_best,prometheus_fidelity_beats_both,sabre_tvd,tket_tvd,prometheus_tvd,prometheus_tvd_vs_best,prometheus_tvd_beats_both,sabre_xeb,tket_xeb,prometheus_xeb,prometheus_xeb_vs_best,prometheus_xeb_beats_both,sabre_entropy,tket_entropy,prometheus_entropy,sabre_hop,tket_hop,prometheus_hop,reference_ideal_entropy,sabre_ideal_entropy_error,tket_ideal_entropy_error,prometheus_ideal_entropy_error
dah048r9k43c73ae14kg,ibm_marrakesh,23,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T22:04:35.878570,2026-09-10T01:04:35.727005Z,2026-09-10T01:11:04.181752Z,2026-09-10T01:11:19.420210Z,SUCCESS,609,1112,562,420,849,363,YES,1a60c3e6fa728711a0d26743335174379aba33c8102dfb8bbac1d68e71cbf260,0.028280798852604365,0.0008219602108705578,0.027977816424855032,(-1.1%),NO,0.9388776307417751,0.9894853682894459,0.9378760013275125,(-0.1%),YES,902.5645227476828,62.51866332363437,943.5282200393115,(+4.5%),YES,13.92812872348241,13.9912109375,13.900086309330232,0.561279296875,0.5076904296875,0.55419921875,10.56330642775303,0.0,0.0,0.0
dah0071hvn6c73cr8b10,ibm_marrakesh,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:55:56.785225,2026-09-10T00:55:56.689655Z,2026-09-10T01:02:58.118146Z,2026-09-10T01:03:16.014534Z,SUCCESS,513,1003,529,367,707,346,YES,69283e3e6981c73b8b11f6922deacb38d38710e59cb6d121472d9b558b9aede2,0.01708304685122489,0.003063904216089717,0.006357063594659148,(-62.8%),NO,0.9353012274801691,0.9760196345651095,0.9621260341885439,(+2.9%),NO,89.35024335593339,24.035288422303147,37.40449250110909,(-58.1%),NO,13.957908935552917,13.984236775970063,13.979796170043418,0.56573486328125,0.53546142578125,0.5108642578125,14.245637414424184,0.0,0.0,0.0
dagvtu8mhr3c73e5poe0,ibm_marrakesh,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:51:05.177311,2026-09-10T00:51:05.078948Z,2026-09-10T00:54:32.565355Z,2026-09-10T00:54:50.227560Z,SUCCESS,583,893,438,440,631,319,YES,be98996dcbaa324cf822bbce5cebf7b6b5ba5a422df9b623dfbe9d8afbfaa775,0.009379445167911869,0.010916803355367065,0.06999932100901725,(+541.2%),YES,0.9678576491852096,0.9598403957138109,0.8797626327493532,(-8.3%),YES,63.447574569619945,59.04276375503189,348.0783844069393,(+448.6%),YES,13.903126127504475,13.955041044613795,13.75636772332026,0.50164794921875,0.55120849609375,0.5562744140625,11.063062794790772,0.0,0.0,0.0
dagvq10mhr3c73e5pjvg,ibm_marrakesh,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:42:44.762146,2026-09-10T00:42:44.670767Z,2026-09-10T00:49:53.873675Z,2026-09-10T00:50:11.401665Z,SUCCESS,561,799,403,438,596,312,YES,7b7f2290901ffbf593e99a70c188753268f1a8b923102dc57e8322fd65cf03a4,0.033956307019448614,0.01340010206841331,0.05799789931528826,(+70.8%),YES,0.9051209131216401,0.9440056189650446,0.8676695744449447,(-4.1%),YES,36.01469546145835,12.645367336748318,53.780259012107734,(+49.3%),YES,13.901328022616678,13.946794009977634,13.831515021800314,0.544677734375,0.56109619140625,0.563232421875,13.481753497606821,0.0,0.0,0.0
dagvm5phvn6c73cr7vp0,ibm_marrakesh,19,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:34:31.308038,2026-09-10T00:34:31.221066Z,2026-09-10T00:41:12.462822Z,2026-09-10T00:41:29.864066Z,SUCCESS,372,717,358,321,501,281,YES,234915dc0e5664fea144815d709f0cceb629b0528e02d41168eaab4059b42361,0.1397368226399545,0.09154338707309793,0.17703950133332474,(+26.7%),YES,0.8245211634729317,0.8717786445209101,0.7908558415283989,(-4.1%),YES,489.09168445571066,257.10835412130155,707.4361766176047,(+44.6%),YES,13.349553150769706,13.532833588028506,13.14820095183799,0.61639404296875,0.63739013671875,0.61981201171875,9.161746958203137,0.0,0.0,0.0
dagvjqvi3e6s738n23kg,ibm_marrakesh,18,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:29:31.791278,2026-09-10T00:29:31.662430Z,2026-09-10T00:33:04.687526Z,2026-09-10T00:33:19.738798Z,SUCCESS,467,633,339,447,478,278,YES,7ea9d5565afefe70a7e7821879a56e1f39ba6c2e30419ca2c37187ecc511a2fd,0.04890278225081678,0.07749519720471659,0.20763248208867027,(+167.9%),YES,0.9206025904276944,0.8868406876324194,0.762953219258675,(-14.0%),YES,51.453188194582324,58.95819246682352,210.48063392202576,(+257.0%),YES,13.682999182301074,13.680266857323327,13.135706341739928,0.55712890625,0.59002685546875,0.62322998046875,9.526984814371103,0.0,0.0,0.0
dagvglvi3e6s738n1vvg,ibm_marrakesh,17,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:22:48.001784,2026-09-10T00:22:47.894694Z,2026-09-10T00:28:28.246459Z,2026-09-10T00:28:43.240689Z,SUCCESS,399,559,286,409,437,250,YES,122e0724e2279fb7496d3d9c0daacdbd7979b9562b496b3542d1129f6218e0f0,0.09627315249861645,0.11036289853963763,0.28845301313039423,(+161.4%),YES,0.8631047310255532,0.8465168990854964,0.6827810818007873,(-19.3%),YES,25.935306565401348,25.65332811062798,87.32271567628955,(+236.7%),YES,13.568293269958112,13.567457830302136,13.031455578313711,0.59185791015625,0.58343505859375,0.701416015625,10.642618238858125,0.0,0.0,0.0
dagvd3gmhr3c73e5p3p0,ibm_marrakesh,16,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:15:10.284512,2026-09-10T00:15:10.208062Z,2026-09-10T00:20:14.485635Z,2026-09-10T00:20:29.156641Z,SUCCESS,325,454,253,307,345,230,YES,f2139875709d2b33735c968ecf335875073b6064aa71c33f0076100d2cd7b38b,0.23373260386955402,0.12885054368444446,0.18763996754194678,(-19.7%),NO,0.7591504186099529,0.8509131456807686,0.806490847897867,(+6.2%),NO,203.72801554278922,93.88499094703695,185.66879486374916,(-8.9%),NO,12.454116642920818,12.973517465442123,12.510873325786662,0.63848876953125,0.629150390625,0.56622314453125,7.181323744328407,0.0,0.0,0.0
