job_id,qpu,qubits,circuit_family,shots_requested,shots_per_circuit,circuits_per_job,shots_executed,timestamp,ibm_created_utc,execution_start_utc,execution_stop_utc,status,sabre_2q_gates,tket_2q_gates,prometheus_2q_gates,sabre_depth,tket_depth,prometheus_depth,ibm_verified,package_sha256,sabre_fidelity,tket_fidelity,prometheus_fidelity,prometheus_fidelity_vs_best,prometheus_fidelity_beats_both,sabre_tvd,tket_tvd,prometheus_tvd,prometheus_tvd_vs_best,prometheus_tvd_beats_both,sabre_xeb,tket_xeb,prometheus_xeb,prometheus_xeb_vs_best,prometheus_xeb_beats_both,sabre_entropy,tket_entropy,prometheus_entropy,sabre_hop,tket_hop,prometheus_hop,reference_ideal_entropy,sabre_ideal_entropy_error,tket_ideal_entropy_error,prometheus_ideal_entropy_error
dagv5eb9k43c73advts0,ibm_kingston,23,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:58:49.892622,2026-09-09T23:58:49.822791Z,2026-09-09T23:59:34.859860Z,2026-09-09T23:59:52.093093Z,SUCCESS,570,1112,587,409,849,372,YES,9f024c7c765f97c2ce25c876e1d417b6e06adb5845715618e48d6bfc495c1417,0.02162431452057691,1.2861183622113626e-05,0.0665925090254252,(+208.0%),YES,0.9471235511541047,0.9989069359241817,0.888825433511049,(-6.2%),YES,653.8015711077389,3.568713999448714,1489.0774904088946,(+127.8%),YES,13.896444357220185,13.9964599609375,13.81372654939204,0.63494873046875,0.48150634765625,0.61407470703125,11.029506306862341,0.0,0.0,0.0
dagv33phvn6c73cr76n0,ibm_kingston,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:53:51.607743,2026-09-09T23:53:51.529718Z,2026-09-09T23:53:55.666713Z,2026-09-09T23:54:13.009076Z,SUCCESS,680,1003,538,517,707,337,YES,b4e19ad96d40d4711d2951fe1ab3c5ff5d09be344b9b2f067b6dc227989382f4,0.020963248860216114,0.00015925181721699949,0.05367636644617144,(+156.0%),YES,0.9370519552134502,0.9952910642176144,0.8874892793013011,(-5.3%),YES,157.38733978910454,3.6572673485950613,312.4252653319055,(+98.5%),YES,13.948182647560131,13.9913330078125,13.868195612436708,0.55010986328125,0.4661865234375,0.59979248046875,12.59733200300877,0.0,0.0,0.0
dagv1mfi3e6s738n1afg,ibm_kingston,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:50:49.842552,2026-09-09T23:50:49.774076Z,2026-09-09T23:52:24.751813Z,2026-09-09T23:52:41.898588Z,SUCCESS,535,893,509,400,631,344,YES,5f53e4994a220e19b3af0743ae84030fb4ba46c12ea26db66cb6b1bd03629d4f,0.0740455672234208,0.0012229460645789849,0.10677105517310115,(+44.2%),YES,0.8689189664875474,0.988045076227249,0.8314686755441597,(-4.3%),YES,278.5825769412975,14.86587073789484,473.2355947149299,(+69.9%),YES,13.804097733799098,13.980162380980918,13.685063047877263,0.5758056640625,0.47576904296875,0.589599609375,11.729291381066403,0.0,0.0,0.0
dagv15ni3e6s738n19v0,ibm_kingston,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:49:42.415050,2026-09-09T23:49:42.318649Z,2026-09-09T23:49:45.897587Z,2026-09-09T23:50:00.539205Z,SUCCESS,544,799,433,484,596,296,YES,9a6f78d5a50d2da781d74283f4c817ef5ec6992d4c163ec0fcdd5156e804f874,0.08650282828471886,0.008614568204702881,0.1452985024023707,(+68.0%),YES,0.8442361142648508,0.9566872771323139,0.7810571660555341,(-7.5%),YES,117.75048842089024,9.684791464366596,186.99182466314363,(+58.8%),YES,13.737349252611352,13.914306089012763,13.610481719628048,0.5732421875,0.51605224609375,0.60614013671875,11.954140258304385,0.0,0.0,0.0
dagv0j0mhr3c73e5ojqg,ibm_kingston,19,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:48:28.877034,2026-09-09T23:48:28.795585Z,2026-09-09T23:48:39.845053Z,2026-09-09T23:48:54.966945Z,SUCCESS,420,717,422,367,501,317,YES,f515c1ed0651450e05bf41fb0a546183560117afa0d4f0eee0afbc125885331a,0.13579415422847876,0.04347995195560989,0.26753243271294075,(+97.0%),YES,0.8183941685593799,0.9144169178889527,0.6982166439565278,(-14.7%),YES,333.6945812743991,73.58311691942379,756.0634666213473,(+126.6%),YES,13.3314434020934,13.700721165403424,12.923809864332245,0.59814453125,0.5931396484375,0.72003173828125,10.099217290374673,0.0,0.0,0.0
dagv039hvn6c73cr72jg,ibm_kingston,18,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:47:26.044434,2026-09-09T23:47:25.966849Z,2026-09-09T23:47:28.637400Z,2026-09-09T23:47:43.112575Z,SUCCESS,369,633,362,353,478,303,YES,3ad139b3cdb68be1fd1c96156952d7b47d2795b40b053901c136380a3ba0e00a,0.1559219694086138,0.025873194470072313,0.3117422261287917,(+99.9%),YES,0.8117327307509158,0.9460803922768837,0.6444764153020931,(-20.6%),YES,159.30443919752884,27.963613358060698,675.0593915692168,(+323.8%),YES,13.173122335830382,13.499133997684604,12.206684600069629,0.63531494140625,0.4805908203125,0.672607421875,9.40088396931822,0.0,0.0,0.0
daguvj8mhr3c73e5ohe0,ibm_kingston,17,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:46:21.505329,2026-09-09T23:46:21.425821Z,2026-09-09T23:46:26.467896Z,2026-09-09T23:46:40.929170Z,SUCCESS,286,559,335,251,437,283,YES,e87ddeaef8051efb68004906495abf219c64b3d129c13616f843d63845ce5bcd,0.2930920686179768,0.03587001967096649,0.30647105026017135,(+4.6%),YES,0.6927582711751871,0.940011657589065,0.6851452127948869,(-1.1%),YES,333.933939348623,30.870269369720695,264.99606874451536,(-20.6%),NO,12.216071301498387,13.366032762002446,12.621176259344098,0.7330322265625,0.44970703125,0.7052001953125,8.783586781313202,0.0,0.0,0.0
dagurbni3e6s738n10f0,ibm_kingston,16,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:37:18.224743,2026-09-09T23:37:18.152280Z,2026-09-09T23:45:13.405764Z,2026-09-09T23:45:27.985006Z,SUCCESS,377,454,282,367,345,282,YES,f7defd7e8e6dfa726fd1f91397d00a89bcc7bb0b0c78cbd617626b5381c2e094,0.24497629226351825,0.34773510366104526,0.3383057297691908,(-2.7%),NO,0.7087636643836008,0.6179162161581458,0.6359201872646565,(+2.9%),NO,35.040633453552275,49.36301469265074,39.685422077526,(-19.6%),NO,12.811389944088278,12.542801597799391,12.781064303523328,0.60845947265625,0.7203369140625,0.65673828125,10.365872717991481,0.0,0.0,0.0
