job_id,qpu,qubits,circuit_family,shots_requested,shots_per_circuit,circuits_per_job,shots_executed,timestamp,ibm_created_utc,execution_start_utc,execution_stop_utc,status,sabre_2q_gates,tket_2q_gates,prometheus_2q_gates,sabre_depth,tket_depth,prometheus_depth,ibm_verified,package_sha256,sabre_fidelity,tket_fidelity,prometheus_fidelity,prometheus_fidelity_vs_best,prometheus_fidelity_beats_both,sabre_tvd,tket_tvd,prometheus_tvd,prometheus_tvd_vs_best,prometheus_tvd_beats_both,sabre_xeb,tket_xeb,prometheus_xeb,prometheus_xeb_vs_best,prometheus_xeb_beats_both,sabre_entropy,tket_entropy,prometheus_entropy,sabre_hop,tket_hop,prometheus_hop,reference_ideal_entropy,sabre_ideal_entropy_error,tket_ideal_entropy_error,prometheus_ideal_entropy_error,dataset
dagv1mfi3e6s738n1afg,ibm_kingston,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:50:49.842552,2026-09-09T23:50:49.774076Z,2026-09-09T23:52:24.751813Z,2026-09-09T23:52:41.898588Z,SUCCESS,535,893,509,400,631,344,YES,5f53e4994a220e19b3af0743ae84030fb4ba46c12ea26db66cb6b1bd03629d4f,0.0740455672234208,0.0012229460645789,0.1067710551731011,(+44.2%),YES,0.8689189664875474,0.988045076227249,0.8314686755441597,(-4.3%),YES,278.5825769412975,14.86587073789484,473.2355947149299,(+69.9%),YES,13.804097733799098,13.980162380980918,13.685063047877264,0.5758056640625,0.47576904296875,0.589599609375,11.729291381066403,0.0,0.0,0.0,Kingston
dagv15ni3e6s738n19v0,ibm_kingston,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:49:42.415050,2026-09-09T23:49:42.318649Z,2026-09-09T23:49:45.897587Z,2026-09-09T23:50:00.539205Z,SUCCESS,544,799,433,484,596,296,YES,9a6f78d5a50d2da781d74283f4c817ef5ec6992d4c163ec0fcdd5156e804f874,0.0865028282847188,0.0086145682047028,0.1452985024023707,(+68.0%),YES,0.8442361142648508,0.956687277132314,0.7810571660555341,(-7.5%),YES,117.75048842089024,9.684791464366596,186.99182466314363,(+58.8%),YES,13.737349252611352,13.914306089012763,13.610481719628048,0.5732421875,0.51605224609375,0.60614013671875,11.954140258304385,0.0,0.0,0.0,Kingston
dagv0j0mhr3c73e5ojqg,ibm_kingston,19,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:48:28.877034,2026-09-09T23:48:28.795585Z,2026-09-09T23:48:39.845053Z,2026-09-09T23:48:54.966945Z,SUCCESS,420,717,422,367,501,317,YES,f515c1ed0651450e05bf41fb0a546183560117afa0d4f0eee0afbc125885331a,0.1357941542284787,0.0434799519556098,0.2675324327129407,(+97.0%),YES,0.8183941685593799,0.9144169178889529,0.6982166439565278,(-14.7%),YES,333.6945812743991,73.58311691942379,756.0634666213473,(+126.6%),YES,13.3314434020934,13.700721165403424,12.923809864332243,0.59814453125,0.5931396484375,0.72003173828125,10.099217290374671,0.0,0.0,0.0,Kingston
dagv039hvn6c73cr72jg,ibm_kingston,18,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:47:26.044434,2026-09-09T23:47:25.966849Z,2026-09-09T23:47:28.637400Z,2026-09-09T23:47:43.112575Z,SUCCESS,369,633,362,353,478,303,YES,3ad139b3cdb68be1fd1c96156952d7b47d2795b40b053901c136380a3ba0e00a,0.1559219694086138,0.0258731944700723,0.3117422261287917,(+99.9%),YES,0.8117327307509158,0.9460803922768836,0.6444764153020931,(-20.6%),YES,159.30443919752884,27.963613358060694,675.0593915692168,(+323.8%),YES,13.173122335830382,13.499133997684604,12.206684600069629,0.63531494140625,0.4805908203125,0.672607421875,9.40088396931822,0.0,0.0,0.0,Kingston
daguvj8mhr3c73e5ohe0,ibm_kingston,17,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:46:21.505329,2026-09-09T23:46:21.425821Z,2026-09-09T23:46:26.467896Z,2026-09-09T23:46:40.929170Z,SUCCESS,286,559,335,251,437,283,YES,e87ddeaef8051efb68004906495abf219c64b3d129c13616f843d63845ce5bcd,0.2930920686179768,0.0358700196709664,0.3064710502601713,(+4.6%),YES,0.6927582711751871,0.940011657589065,0.6851452127948869,(-1.1%),YES,333.933939348623,30.870269369720692,264.99606874451536,(-20.6%),NO,12.216071301498388,13.366032762002446,12.621176259344098,0.7330322265625,0.44970703125,0.7052001953125,8.783586781313202,0.0,0.0,0.0,Kingston
dagurbni3e6s738n10f0,ibm_kingston,16,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T20:37:18.224743,2026-09-09T23:37:18.152280Z,2026-09-09T23:45:13.405764Z,2026-09-09T23:45:27.985006Z,SUCCESS,377,454,282,367,345,282,YES,f7defd7e8e6dfa726fd1f91397d00a89bcc7bb0b0c78cbd617626b5381c2e094,0.2449762922635182,0.3477351036610452,0.3383057297691908,(-2.7%),NO,0.7087636643836008,0.6179162161581458,0.6359201872646565,(+2.9%),NO,35.040633453552275,49.36301469265074,39.685422077526,(-19.6%),NO,12.811389944088278,12.542801597799391,12.781064303523328,0.60845947265625,0.7203369140625,0.65673828125,10.36587271799148,0.0,0.0,0.0,Kingston
dah048r9k43c73ae14kg,ibm_marrakesh,23,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T22:04:35.878570,2026-09-10T01:04:35.727005Z,2026-09-10T01:11:04.181752Z,2026-09-10T01:11:19.420210Z,SUCCESS,609,1112,562,420,849,363,YES,1a60c3e6fa728711a0d26743335174379aba33c8102dfb8bbac1d68e71cbf260,0.0282807988526043,0.0008219602108705,0.027977816424855,(-1.1%),NO,0.9388776307417752,0.989485368289446,0.9378760013275124,(-0.1%),YES,902.5645227476828,62.51866332363437,943.5282200393116,(+4.5%),YES,13.92812872348241,13.9912109375,13.900086309330232,0.561279296875,0.5076904296875,0.55419921875,10.56330642775303,0.0,0.0,0.0,Marrakesh
dah0071hvn6c73cr8b10,ibm_marrakesh,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:55:56.785225,2026-09-10T00:55:56.689655Z,2026-09-10T01:02:58.118146Z,2026-09-10T01:03:16.014534Z,SUCCESS,513,1003,529,367,707,346,YES,69283e3e6981c73b8b11f6922deacb38d38710e59cb6d121472d9b558b9aede2,0.0170830468512248,0.0030639042160897,0.0063570635946591,(-62.8%),NO,0.9353012274801692,0.9760196345651097,0.962126034188544,(+2.9%),NO,89.35024335593339,24.035288422303147,37.40449250110909,(-58.1%),NO,13.957908935552917,13.984236775970064,13.979796170043418,0.56573486328125,0.53546142578125,0.5108642578125,14.245637414424184,0.0,0.0,0.0,Marrakesh
dagvtu8mhr3c73e5poe0,ibm_marrakesh,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:51:05.177311,2026-09-10T00:51:05.078948Z,2026-09-10T00:54:32.565355Z,2026-09-10T00:54:50.227560Z,SUCCESS,583,893,438,440,631,319,YES,be98996dcbaa324cf822bbce5cebf7b6b5ba5a422df9b623dfbe9d8afbfaa775,0.0093794451679118,0.010916803355367,0.0699993210090172,(+541.2%),YES,0.9678576491852096,0.9598403957138107,0.8797626327493532,(-8.3%),YES,63.447574569619945,59.04276375503189,348.0783844069393,(+448.6%),YES,13.903126127504477,13.955041044613797,13.75636772332026,0.50164794921875,0.55120849609375,0.5562744140625,11.063062794790772,0.0,0.0,0.0,Marrakesh
dagvq10mhr3c73e5pjvg,ibm_marrakesh,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-09T21:42:44.762146,2026-09-10T00:42:44.670767Z,2026-09-10T00:49:53.873675Z,2026-09-10T00:50:11.401665Z,SUCCESS,561,799,403,438,596,312,YES,7b7f2290901ffbf593e99a70c188753268f1a8b923102dc57e8322fd65cf03a4,0.0339563070194486,0.0134001020684133,0.0579978993152882,(+70.8%),YES,0.90512091312164,0.9440056189650446,0.8676695744449447,(-4.1%),YES,36.01469546145835,12.645367336748318,53.78025901210773,(+49.3%),YES,13.901328022616678,13.946794009977634,13.831515021800314,0.544677734375,0.56109619140625,0.563232421875,13.48175349760682,0.0,0.0,0.0,Marrakesh
